,Level,Albedo,Amber,Barbara,Beidou,Bennett,Chongyun,Diluc,Diona,Eula,Fischl,Ganyu,Hu_Tao,Jean,Kaedehara_Kazuha,Kaeya,Kamisato_Ayaka,Keqing,Klee,Lisa,Mona,Ningguang,Noelle,Qiqi,Razor,Rosaria,Sucrose,Tartaglia,Venti,Xiangling,Xiao,Xingqiu,Xinyan,Yanfei,Zhongli
0,1,20,19,13,19,16,19,26,18,27,20,26,8,19,23,19,27,25,24,19,22,18,16,22,20,20,14,23,20,19,27,17,21,20,20
1,20,51,48,34,48,41,48,68,46,69,53,68,21,48,60,48,79,65,63,50,58,46,41,58,50,52,37,61,53,48,71,43,54,52,51
2,20,68,62,44,63,53,62,90,59,92,68,90,29,64,80,62,92,87,84,64,77,59,53,77,65,67,47,81,71,63,94,56,69,67,67
3,40,101,93,66,94,80,93,135,88,138,102,135,43,96,119,93,138,130,125,96,115,88,80,115,97,100,71,121,106,94,141,84,103,100,101
4,40,113,103,73,104,88,103,151,98,154,113,151,48,108,133,103,154,145,140,107,129,98,88,129,108,111,78,135,118,104,157,93,115,111,113
5,50,130,118,84,119,101,118,173,113,177,130,173,55,124,153,118,177,167,161,123,148,113,101,148,124,127,90,156,136,119,181,107,132,127,130
6,50,146,131,94,133,113,131,194,125,199,144,194,62,139,172,131,198,187,180,136,167,125,113,167,138,141,100,175,153,133,203,119,147,141,146
7,60,163,147,105,148,126,147,217,140,222,161,217,69,155,192,147,222,209,202,153,186,140,126,186,154,158,112,195,171,148,227,133,164,158,163
8,60,175,157,112,158,134,157,233,149,238,172,233,74,166,206,157,238,225,216,163,200,149,134,200,164,169,120,210,183,158,243,142,175,169,175
9,70,192,172,123,174,148,172,256,164,262,189,256,81,183,227,172,262,247,238,179,220,164,148,220,180,185,131,231,201,174,267,156,192,185,192
10,70,204,182,130,184,156,182,272,174,278,200,272,86,194,241,182,278,262,253,189,233,174,156,233,191,196,139,245,214,184,284,165,203,196,204
11,80,222,198,141,200,169,198,295,188,302,216,295,94,211,262,198,302,285,274,205,253,188,169,253,207,213,151,266,232,200,308,179,220,213,222
12,80,233,208,148,210,178,208,311,198,318,227,311,99,222,276,208,318,300,289,215,267,198,178,267,217,223,158,280,245,210,325,188,231,223,233
13,90,251,223,159,225,191,223,335,212,342,244,335,106,239,297,223,342,323,311,232,287,212,191,287,234,240,170,301,263,225,349,202,249,240,251
