,Level,Albedo,Amber,Barbara,Beidou,Bennett,Chongyun,Diluc,Diona,Eula,Fischl,Ganyu,Hu_Tao,Jean,Kaedehara_Kazuha,Kaeya,Kamisato_Ayaka,Keqing,Klee,Lisa,Mona,Ningguang,Noelle,Qiqi,Razor,Rosaria,Sucrose,Tartaglia,Venti,Xiangling,Xiao,Xingqiu,Xinyan,Yanfei,Zhongli
0,1,1030,793,821,1094,1039,1003,1011,802,1030,770,763,1211,1144,1039,976,1001,1020,801,802,810,821,1012,963,1003,1030,775,1020,820,912,991,857,939,784,1144
1,20,2671,2038,2108,2811,2670,2366,2621,2061,2671,1979,1978,3141,2967,2695,2506,2597,2646,2077,2061,2102,2108,2600,2498,2577,2647,1991,2646,2127,2342,2572,2202,2413,2014,2967
2,20,3554,2630,2721,3628,3447,3054,3488,2661,3554,2555,2632,4179,3948,3586,3235,3455,3521,2764,2661,2797,2721,3356,3323,3326,3417,2570,3521,2830,3024,3422,2842,3114,2600,3948
3,40,5317,3940,4076,5435,5163,4574,5219,3985,5317,3827,3939,6253,5908,5366,4846,5170,5268,4136,3985,4185,4076,5027,4973,4982,5118,3850,5268,4234,4529,5120,4257,4665,3895,5908
4,40,5944,4361,4512,6015,5715,5063,5834,4411,5944,4236,4403,6990,6605,5999,5364,5779,5889,4623,4411,4678,4512,5564,5559,5514,5665,4261,5889,4734,5013,5724,4712,5163,4311,6605
5,50,6839,5016,5189,6919,6573,5824,6712,5074,6839,4872,5066,8042,7599,6902,6170,6649,6776,5319,5074,5383,5189,6400,6396,6343,6516,4901,6776,5446,5766,6586,5420,5939,4959,7599
6,50,7675,5578,5770,7694,7309,6475,7533,5642,7675,5418,5686,9026,8528,7747,6860,7462,7604,5970,5642,6041,5770,7117,7178,7052,7245,5450,7604,6112,6411,7391,6027,6604,5514,8528
7,60,8579,6233,6448,8597,8168,7236,8421,6305,8579,6054,6355,10089,9533,8659,7666,8341,8500,6673,6305,6752,6448,7953,8023,7881,8096,6090,8500,6832,7164,8262,6735,7379,6161,9533
8,60,9207,6654,6884,9178,8719,7725,9036,6731,9207,6463,6820,10826,10230,9292,8184,8951,9121,7161,6731,7246,6884,8490,8610,8413,8643,6501,9121,7331,7648,8866,7190,7878,6578,10230
9,70,10119,7309,7561,10081,9577,8485,9932,7393,10119,7099,7495,11899,11243,10213,8990,9838,10025,7870,7393,7964,7561,9325,9463,9241,9493,7141,10025,8058,8401,9744,7897,8653,7225,11243
10,70,10746,7730,7996,10662,10129,8974,10547,7818,10746,7508,7960,12637,11940,10846,9508,10448,10647,8358,7818,8458,7996,9862,10050,9773,10040,7552,10647,8557,8885,10348,8352,9151,7641,11940
11,80,11669,8385,8674,11565,10987,9734,11453,8481,11669,8144,8643,13721,12965,11777,10312,11345,11561,9076,8481,9184,8674,10698,10912,10602,10891,8192,11561,9292,9638,11236,9060,9927,8289,12965
12,80,12296,8806,9110,12146,11539,10223,12068,8907,12296,8553,9108,14459,13662,12410,10830,11954,12182,9563,8907,9677,9110,11235,11499,11134,11438,8603,12182,9790,10122,11840,9515,10425,8705,13662
13,90,13226,9461,9787,13050,12397,10984,12981,9570,13226,9189,9797,15552,14695,13348,11636,12858,13103,10287,9570,10409,9787,12071,12368,11962,12289,9243,13103,10531,10875,12736,10223,11201,9352,14695
